index,page,ID,title,kind,url,metascore,critic_count,critic_count_positive,critic_count_mixed,critic_count_negative,userscore,user_count,user_count_positive,user_count_mixed,user_count_negative,developer,publisher,record_label,platform,release_date,rating,esrb,esrb_reason,runtime,genre,cast,show_type,summary
55,30,tv_army-wives,Army Wives,tv show,http://www.metacritic.com/tv/army-wives,65,15,9,5,1,7.7,112,61,2,19,Katherine Fugate,Lifetime,NA,NA,"Jun  3, 2007",NA,NA,NA,60,"[u'Drama', u'Soap']",NA,Returning Series,Army Wives tells the story of four women and one man who are brought together by their common bond  they all have military spouses. The series is based on the book Under the Sabers: The Unwritten...
56,30,tv_kings,Kings,tv show,http://www.metacritic.com/tv/kings,58,27,11,12,4,8.7,154,82,2,7,NA,NBC,NA,NA,"Mar 15, 2009",NA,NA,NA,60,Drama,NA,Ended,"Inspired by the biblical story of King David, this contemporary soap is about a typical small town guy who becomes involved with high society and politics and rises to the top against all odds...."
57,32,tv_in-treatment,In Treatment,tv show,http://www.metacritic.com/tv/in-treatment,70,26,19,5,2,9.5,156,89,1,2,NA,HBO,NA,NA,"Jan 28, 2008",NA,NA,NA,30,Drama,NA,Ended,"Paul, a psychotherapist played by Gabriel Byrne, is the picture of insightful perfection when dealing with his patients, but he becomes a raging ball of issues during his own therapy sessions...."
58,33,tv_90210,90210,tv show,http://www.metacritic.com/tv/90210,46,12,2,7,3,6.6,48,13,0,4,NA,The CW,NA,NA,"Sep  2, 2008",NA,NA,NA,60,"[u'Drama', u'Soap']",NA,Returning Series,"""You wanna live in the zip, you've gotta live by the code.""

Based on the 1990s FOX hit, Beverly Hills, 90210, the series revolves around the three-generational Wilson family.  The Wilsons have..."
59,34,tv_sanctuary,Sanctuary,tv show,http://www.metacritic.com/tv/sanctuary,56,7,1,6,0,6.3,44,9,3,8,Damian Kindler,Syfy,NA,NA,"May 14, 2007",NA,NA,NA,60,"[u'Science-Fiction', u'Drama']",NA,Ended,"Sanctuary, the first broadcast caliber Sci-Fi series developed specifically for the Internet and the first to be filmed entirely on Green Screen, stars Amanda Tapping as Dr. Helen Magnus, one of..."
60,34,tv_a-perfect-day,A Perfect Day,tv show,http://www.metacritic.com/tv/a-perfect-day,34,5,1,1,3,NA,0,1,0,0,NA,TNT,NA,NA,"Dec 18, 2006",NA,NA,NA,120,"[u'Drama', u'Movie/Mini-Series']",NA,Ended,"Based on the best-selling book The Christmas Box by Richard Paul Evans, A Perfect Day is a holiday-themed TNT movie about a man who must figure out what is truly important in life. Rob Lowe plays..."
61,35,tv_eureka,Eureka,tv show,http://www.metacritic.com/tv/eureka,62,20,8,11,1,9.0,110,58,2,1,Andrew Cosby,Syfy,NA,NA,"Jul 18, 2006",NA,NA,NA,60,"[u'Science-Fiction', u'Drama']",NA,Ended,"Small town. Big secret.

A car accident leads U.S. Marshal Jack Carter into the top-secret Pacific Northwest town of Eureka. For decades, the United States government has relocated the world's..."
62,35,tv_state-of-play,State of Play,tv show,http://www.metacritic.com/tv/state-of-play,84,4,4,0,0,NA,0,1,0,0,NA,BBC-1,NA,NA,"May 18, 2003",NA,NA,NA,60,Drama,NA,Ended,Welcome to the State of Play guide. State of Play was one of the BBC's most innovative conspiracy dramas. The storyline and pacey dialogue kept the viewers riveted right till the end. This very...
63,35,tv_life-support,Life Support,tv show,http://www.metacritic.com/tv/life-support,77,9,8,1,0,8.3,6,4,1,0,NA,HBO,NA,NA,"Mar 10, 2007",NA,NA,NA,88,"[u'Drama', u'Movie/Mini-Series']",NA,TV Movie,Queen Latifah stars in this HBO film along with a cast of other actors and real people to relay the true story about an HIV-positive woman living in Brooklyn. Ana is devoted to her work at Life...
64,36,tv_cane,Cane,tv show,http://www.metacritic.com/tv/cane,57,25,11,10,4,8.9,119,82,0,9,NA,CBS,NA,NA,"Sep 25, 2007",NA,NA,NA,60,Drama,NA,Ended,"This soapy drama tells the story of two families, the Duques and the Samuels, in the rum and sugar business. This series explores the rivalry between the two families as well as the power struggles..."
